id,book_id,authors,original_publication_year,original_title,language_code,average_rating,ratings_count,,,,,,,,,,,,,,,
23,15881,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,eng,4.37,1779331,,,,,,,,,,,,,,,
24,6,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,eng,4.53,1753043,,,,,,,,,,,,,,,
25,136251,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,eng,4.61,1746574,,,,,,,,,,,,,,,
26,968,Dan Brown,2003,The Da Vinci Code,eng,3.79,1447148,,,,,,,,,,,,,,,
27,1,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,eng,4.54,1678823,,,,,,,,,,,,,,,
28,7624,William Golding,1954,Lord of the Flies ,eng,3.64,1605019,,,,,,,,,,,,,,,
29,18135,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,eng,3.73,1628519,,,,,,,,,,,,,,,
30,8442457,Gillian Flynn,2012,Gone Girl,eng,4.03,512475,,,,,,,,,,,,,,,
31,4667024,Kathryn Stockett,2009,The Help,eng,4.45,1531753,,,,,,,,,,,,,,,
32,890,John Steinbeck,1937,Of Mice and Men ,eng,3.84,1467496,,,,,,,,,,,,,,,
33,930,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,1300209,,,,,,,,,,,,,,,
34,10818853,E.L. James,2011,Fifty Shades of Grey,eng,3.67,1338493,,,,,,,,,,,,,,,
35,865,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,eng,3.82,1299566,,,,,,,,,,,,,,,
36,3636,Lois Lowry,1993,The Giver,eng,4.12,1296825,,,,,,,,,,,,,,,
37,100915,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",eng,4.19,1531800,,,,,,,,,,,,,,,
38,14050,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,746287,,,,,,,,,,,,,,,
39,13496,George R.R. Martin,1996,A Game of Thrones,eng,4.45,1319204,,,,,,,,,,,,,,,
40,19501,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng,3.51,1181647,,,,,,,,,,,,,,,
41,28187,Rick Riordan,2005,The Lightning Thief,eng,4.23,1366265,,,,,,,,,,,,,,,
42,1934,Louisa May Alcott,1868,Little Women,en-US,4.04,1257121,,,,,,,,,,,,,,,
43,10210,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4.1,1198557,,,,,,,,,,,,,,,
44,15931,Nicholas Sparks,1996,The Notebook,eng,4.06,1053403,,,,,,,,,,,,,,,
46,43641,Sara Gruen,2006,Water for Elephants,eng,4.07,1068146,,,,,,,,,,,,,,,
47,19063,Markus Zusak,2005,The Book Thief,eng,4.36,1159741,,,,,,,,,,,,,,,
48,4381,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,570498,,,,,,,,,,,,,,,
49,49041,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,1149630,,,,,,,,,,,,,,,
50,30119,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng,4.29,1016888,,,,,,,,,,,,,,,
51,256683,Cassandra Clare,2007,City of Bones,eng,4.12,1154031,,,,,,,,,,,,,,,
52,428263,Stephenie Meyer,2007,Eclipse,en-US,3.69,1134511,,,,,,,,,,,,,,,
53,113436,Christopher Paolini,2002,Eragon,en-US,3.86,1104021,,,,,,,,,,,,,,,
54,11,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,en-US,4.2,936782,,,,,,,,,,,,,,,
55,5129,Aldous Huxley,1932,Brave New World,eng,3.97,1022601,,,,,,,,,,,,,,,
56,1162543,Stephenie Meyer,2008,Breaking Dawn,en-US,3.7,1070245,,,,,,,,,,,,,,,
57,37435,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4.01,916189,,,,,,,,,,,,,,,
58,2956,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,3.8,953758,,,,,,,,,,,,,,,
59,24178,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4.15,1064521,,,,,,,,,,,,,,,
60,1618,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,,,,,,,,,,,,,,,
61,22557272,Paula Hawkins,2015,The Girl on the Train,eng,3.88,1008778,,,,,,,,,,,,,,,
62,119322,Philip Pullman,1995,Northern Lights,eng,3.94,953970,,,,,,,,,,,,,,,
63,6185,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,3.82,899195,,,,,,,,,,,,,,,
64,10917,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,863879,,,,,,,,,,,,,,,
65,4981,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng,4.06,846488,,,,,,,,,,,,,,,
66,18405,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,873981,,,,,,,,,,,,,,,
67,128029,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,818742,,,,,,,,,,,,,,,
68,22628,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,888806,,,,,,,,,,,,,,,
69,11735983,Veronica Roth,2012,Insurgent,eng,4.07,836362,,,,,,,,,,,,,,,
70,375802,Orson Scott Card,1985,Ender's Game,eng,4.3,813439,,,,,,,,,,,,,,,
71,18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",eng,3.75,808589,,,,,,,,,,,,,,,
72,11588,Stephen King,1977,The Shining,eng,4.17,791850,,,,,,,,,,,,,,,
73,1656001,Stephenie Meyer,2008,The Host,en-US,3.84,749780,,,,,,,,,,,,,,,
74,99561,John Green,2005,Looking for Alaska,eng,4.09,783470,,,,,,,,,,,,,,,
76,14935,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4.06,738894,,,,,,,,,,,,,,,
77,38709,"Louis Sachar, Louis Sachar",1998,Holes,eng,3.93,747445,,,,,,,,,,,,,,,
78,5139,Lauren Weisberger,2003,The Devil Wears Prada,eng,3.7,665930,,,,,,,,,,,,,,,
79,1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,eng,3.73,670326,,,,,,,,,,,,,,,
80,157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,eng,4.28,738757,,,,,,,,,,,,,,,
81,7445,Jeannette Walls,2005,The Glass Castle,eng,4.24,621099,,,,,,,,,,,,,,,
82,1845,Jon Krakauer,1996,Into the Wild,eng,3.94,647684,,,,,,,,,,,,,,,
83,1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,3.81,637412,,,,,,,,,,,,,,,
84,7677,Michael Crichton,1990,Jurassic Park,spa,3.96,447833,,,,,,,,,,,,,,,
85,370493,Shel Silverstein,1964,The Giving Tree,eng,4.38,702332,,,,,,,,,,,,,,,
86,32542,John Grisham,1989,A Time to Kill,eng,4.03,597775,,,,,,,,,,,,,,,
87,1617,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,eng,4.3,691231,,,,,,,,,,,,,,,
88,6442769,John Green,2008,Paper Towns,en-US,3.88,461311,,,,,,,,,,,,,,,
89,21787,William Goldman,1973,The Princess Bride,en-US,4.25,628637,,,,,,,,,,,,,,,
90,231804,S.E. Hinton,1967,The Outsiders,en-US,4.06,659248,,,,,,,,,,,,,,,
91,6186357,James Dashner,2009,The Maze Runner,eng,4.02,719925,,,,,,,,,,,,,,,
92,1202,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,en-US,3.93,524191,,,,,,,,,,,,,,,
93,2998,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,639357,,,,,,,,,,,,,,,
94,320,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,eng,4.04,490565,,,,,,,,,,,,,,,
95,5297,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4.06,590014,,,,,,,,,,,,,,,
96,13536860,E.L. James,2012,Fifty Shades Freed,eng,3.88,387290,,,,,,,,,,,,,,,
97,17245,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,3.98,618973,,,,,,,,,,,,,,,
98,5060378,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,eng,4.22,563994,,,,,,,,,,,,,,,
99,11857408,E.L. James,2011,Fifty Shades Darker,eng,3.87,552059,,,,,,,,,,,,,,,
100,7244,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,546502,,,,,,,,,,,,,,,
101,4137,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,495736,,,,,,,,,,,,,,,
102,19543,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,620618,,,,,,,,,,,,,,,
103,7126,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,eng,4.21,555822,,,,,,,,,,,,,,,
104,6288,Cormac McCarthy,2006,The Road,eng,3.95,504793,,,,,,,,,,,,,,,
105,18710190,Veronica Roth,2013,Allegiant,eng,3.63,463257,,,,,,,,,,,,,,,
106,9418327,Tina Fey,2011,Bossypants,eng,3.94,506250,,,,,,,,,,,,,,,
107,3473,Nicholas Sparks,1999,A Walk to Remember,en-US,4.15,546948,,,,,,,,,,,,,,,
108,9416,Sophie Kinsella,2000,Confessions of a Shopaholic,eng,3.61,543658,,,,,,,,,,,,,,,
109,24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4.14,513407,,,,,,,,,,,,,,,
110,10572,George R.R. Martin,1998,A Clash of Kings,eng,4.4,523303,,,,,,,,,,,,,,,
111,10441,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,501430,,,,,,,,,,,,,,,
112,15507958,Jojo Moyes,2012,Me Before You,eng,4.27,587647,,,,,,,,,,,,,,,
113,168668,Joseph Heller,1961,Catch-22,en-US,3.98,563265,,,,,,,,,,,,,,,
114,6900,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4.06,556518,,,,,,,,,,,,,,,
115,2187,Jeffrey Eugenides,2002,Middlesex,en-US,3.98,488243,,,,,,,,,,,,,,,
116,24583,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,3.89,555359,,,,,,,,,,,,,,,
117,18131,Madeleine L'Engle,1962,A Wrinkle in Time,en-US,4.04,615907,,,,,,,,,,,,,,,
118,7763,Amy Tan,1989,The Joy Luck Club,eng,3.9,515090,,,,,,,,,,,,,,,
119,38447,Margaret Atwood,1985,The Handmaid's Tale,eng,4.06,607889,,,,,,,,,,,,,,,
120,452306,Ann Brashares,2001,The Sisterhood of the Traveling Pants,eng,3.75,525706,,,,,,,,,,,,,,,
121,7604,"Vladimir Nabokov, Craig Raine",1955,Lolita,eng,3.88,469836,,,,,,,,,,,,,,,
122,37442,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,eng,3.52,506900,,,,,,,,,,,,,,,
123,5358,John Grisham,1991,The Firm,eng,3.99,488269,,,,,,,,,,,,,,,
124,7937843,Emma Donoghue,2010,Room,eng,4.03,511360,,,,,,,,,,,,,,,
125,1420,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",eng,4,515820,,,,,,,,,,,,,,,
126,234225,Frank Herbert,1965,Dune,eng,4.19,485032,,,,,,,,,,,,,,,
127,2612,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,,,,,,,,,,,,,,,
128,11084145,Walter Isaacson,2011,Steve Jobs,eng,4.09,560715,,,,,,,,,,,,,,,
129,332613,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4.18,491642,,,,,,,,,,,,,,,
130,2165,Ernest Hemingway,1952,The Old Man and the Sea,eng,3.73,520630,,,,,,,,,,,,,,,
131,4395,John Steinbeck,1939,The Grapes of Wrath,eng,3.92,322321,,,,,,,,,,,,,,,
133,8127,L.M. Montgomery,1908,Anne of Green Gables,eng,4.23,502247,,,,,,,,,,,,,,,
134,3777732,Cassandra Clare,2009,City of Glass,en-US,4.34,593173,,,,,,,,,,,,,,,
135,62291,George R.R. Martin,2000,A Storm of Swords,eng,4.54,469022,,,,,,,,,,,,,,,
136,137791,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676,,,,,,,,,,,,,,,
137,10964,Diana Gabaldon,1991,Outlander,eng,4.2,515547,,,,,,,,,,,,,,,
138,12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,3.37,509883,,,,,,,,,,,,,,,
139,9460487,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,en-US,3.89,613674,,,,,,,,,,,,,,,
140,6892870,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,en-US,4.2,443951,,,,,,,,,,,,,,,
141,18007564,Andy Weir,2012,The Martian,eng,4.39,423344,,,,,,,,,,,,,,,
142,5043,Ken Follett,1989,The Pillars of the Earth,eng,4.29,462517,,,,,,,,,,,,,,,
144,8664353,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,,,,,,,,,,,,,,,
145,976,Dan Brown,2001,Deception Point,eng,3.67,455610,,,,,,,,,,,,,,,
146,17333223,Donna Tartt,2013,The Goldfinch,eng,3.87,396756,,,,,,,,,,,,,,,
147,1217100,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,463783,,,,,,,,,,,,,,,
148,2865,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,3.85,467577,,,,,,,,,,,,,,,
149,4374400,Gayle Forman,2009,If I Stay,en-US,3.96,503527,,,,,,,,,,,,,,,
150,4989,Anita Diamant,1997,The Red Tent,en-US,4.16,424981,,,,,,,,,,,,,,,
151,28186,Rick Riordan,2006,The Sea of Monsters,eng,4.23,514932,,,,,,,,,,,,,,,
152,5526,Nicholas Sparks,2006,Dear John,en-US,4.01,441062,,,,,,,,,,,,,,,
153,1582996,Cassandra Clare,2008,City of Ashes,eng,4.21,541117,,,,,,,,,,,,,,,
154,8852,William Shakespeare,1606,The Tragedy of Macbeth,eng,3.88,496018,,,,,,,,,,,,,,,
155,15241,J.R.R. Tolkien,1954,The Two Towers,en-US,4.42,480446,,,,,,,,,,,,,,,
156,42156,Emily Giffin,2004,Something Borrowed,eng,3.83,403601,,,,,,,,,,,,,,,
157,23772,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,en-US,4.29,457475,,,,,,,,,,,,,,,
158,6310,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,eng,4.1,453959,,,,,,,,,,,,,,,
159,2120932,Rick Riordan,2008,The Battle of the Labyrinth,eng,4.39,508214,,,,,,,,,,,,,,,
160,2623,Charles Dickens,1860,Great Expectations,eng,3.75,459247,,,,,,,,,,,,,,,
161,18512,J.R.R. Tolkien,1955,The Return of the King,en-US,4.51,463959,,,,,,,,,,,,,,,
162,49552,"Albert Camus, Matthew    Ward",1942,L’Étranger,eng,3.96,420600,,,,,,,,,,,,,,,
163,7736182,Rick Riordan,2010,The Lost Hero,eng,4.35,271576,,,,,,,,,,,,,,,
164,15745753,Rainbow Rowell,2013,Eleanor & Park,eng,4.11,514312,,,,,,,,,,,,,,,
165,13497,George R.R. Martin,2005,A Feast for Crows,en-US,4.1,428186,,,,,,,,,,,,,,,
166,7735333,Ally Condie,2010,Matched,eng,3.68,511815,,,,,,,,,,,,,,,
167,4407,Neil Gaiman,2001,American Gods,eng,4.11,378019,,,,,,,,,,,,,,,
168,149267,"Stephen King, Bernie Wrightson",1978,The Stand,en-US,4.34,438832,,,,,,,,,,,,,,,
169,6400090,Nicholas Sparks,2008,The Last Song,en-GB,4.14,424637,,,,,,,,,,,,,,,
170,11125,Dan Brown,1998,Digital Fortress,en-GB,3.6,423019,,,,,,,,,,,,,,,
171,6969,"Jane Austen, Fiona Stafford",1815,Emma,eng,3.99,459826,,,,,,,,,,,,,,,
172,15823480,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,eng,4.02,297472,,,,,,,,,,,,,,,
173,227463,Anthony Burgess,1962,A Clockwork Orange,eng,3.98,431195,,,,,,,,,,,,,,,
174,1812457,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,eng,3.74,419539,,,,,,,,,,,,,,,
175,4502507,Rick Riordan,2009,The Last Olympian,eng,4.5,397500,,,,,,,,,,,,,,,
176,18342,Stephen King,1986,It,en-US,4.18,292592,,,,,,,,,,,,,,,
177,7144,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,eng,4.18,380903,,,,,,,,,,,,,,,
178,6514,Sylvia Plath,1963,The Bell Jar,en-US,3.98,401605,,,,,,,,,,,,,,,
179,252577,Frank McCourt,1996,Angela's Ashes: A Memoir,eng,4.07,392103,,,,,,,,,,,,,,,
180,52036,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,3.99,372099,,,,,,,,,,,,,,,
181,168642,Truman Capote,1965,In Cold Blood,eng,4.05,381652,,,,,,,,,,,,,,,
182,6304335,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,eng,3.76,436093,,,,,,,,,,,,,,,
183,7171637,Cassandra Clare,2010,Clockwork Angel,eng,4.33,490890,,,,,,,,,,,,,,,
184,39988,"Roald Dahl, Quentin Blake",1988,Matilda,eng,4.29,440743,,,,,,,,,,,,,,,
185,9361589,Erin Morgenstern,2011,The Night Circus,eng,4.03,429543,,,,,,,,,,,,,,,
186,37470,Philippa Gregory,2001,The Other Boleyn Girl,eng,4.04,381080,,,,,,,,,,,,,,,
187,24770,Scott Westerfeld,2005,Uglies,eng,3.86,449073,,,,,,,,,,,,,,,
188,10664113,George R.R. Martin,2011,A Dance with Dragons,eng,4.31,365954,,,,,,,,,,,,,,,
189,33,J.R.R. Tolkien,1955,The Lord of the Rings,eng,4.47,389054,,,,,,,,,,,,,,,
190,12262741,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,eng,3.96,379872,,,,,,,,,,,,,,,
191,472331,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,en-US,4.35,398018,,,,,,,,,,,,,,,
192,186074,Patrick Rothfuss,2007,The Name of the Wind,eng,4.55,400101,,,,,,,,,,,,,,,
193,3228917,Malcolm Gladwell,2008,Outliers: The Story of Success,en-US,4.11,353011,,,,,,,,,,,,,,,
194,153747,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale",eng,3.46,358050,,,,,,,,,,,,,,,
195,2728527,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,eng,4.12,393626,,,,,,,,,,,,,,,
196,5759,Chuck Palahniuk,1996,Fight Club,eng,4.2,365349,,,,,,,,,,,,,,,
197,301082,Charlaine Harris,2001,Dead Until Dark,en-US,3.96,420764,,,,,,,,,,,,,,,
198,11486,Alice Walker,1982,The Color Purple,eng,4.17,376766,,,,,,,,,,,,,,,
199,12691,John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog,eng,4.12,367304,,,,,,,,,,,,,,,
200,16299,Agatha Christie,1939,Ten Little Niggers,eng,4.23,408983,,,,,,,,,,,,,,,
201,6411961,Dan Brown,2009,The Lost Symbol,eng,3.66,369428,,,,,,,,,,,,,,,
202,6339664,Becca Fitzpatrick,2009,"Hush, Hush",en-US,4,448166,,,,,,,,,,,,,,,
203,11505797,Jamie McGuire,2011,Beautiful Disaster,eng,4.15,418309,,,,,,,,,,,,,,,
205,43763,Anne Rice,1976,Interview with the Vampire,eng,3.97,372566,,,,,,,,,,,,,,,
206,10507293,Kiera Cass,2012,The Selection,en-US,4.15,505340,,,,,,,,,,,,,,,
207,6853,Janet Evanovich,1994,One for the Money,en-US,4.03,391007,,,,,,,,,,,,,,,
208,6493208,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,eng,4.04,377249,,,,,,,,,,,,,,,
209,23807,Thomas Harris,1988,The Silence of the Lambs,eng,4.14,351107,,,,,,,,,,,,,,,
211,40102,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,en-US,3.89,348196,,,,,,,,,,,,,,,
212,6867,Ian McEwan,2001,Atonement,eng,3.88,347006,,,,,,,,,,,,,,,
213,485894,"Franz Kafka, Stanley Corngold",1915,Die Verwandlung,eng,3.78,364933,,,,,,,,,,,,,,,
214,561456,Rick Riordan,2007,The Titan's Curse,eng,4.33,446668,,,,,,,,,,,,,,,
216,3153910,Garth Stein,2006,The Art of Racing in the Rain,eng,4.19,327409,,,,,,,,,,,,,,,
217,21996,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",eng,3.98,309385,,,,,,,,,,,,,,,
218,13572249,Sylvia Day,2012,Bared to You,eng,4.19,222678,,,,,,,,,,,,,,,
219,11127,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,eng,4.24,376385,,,,,,,,,,,,,,,
221,60748,Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Survive",eng,4.08,311543,,,,,,,,,,,,,,,
222,7869,Robert Ludlum,1980,The Bourne Identity,eng,3.98,327122,,,,,,,,,,,,,,,
223,249747,Eoin Colfer,2001,Artemis Fowl,eng,3.82,386923,,,,,,,,,,,,,,,
224,6487308,Lauren Kate,2009,Fallen,en-US,3.74,395296,,,,,,,,,,,,,,,
225,4406,John Steinbeck,1952,East of Eden  ,eng,4.35,320919,,,,,,,,,,,,,,,
226,5886881,Gillian Flynn,2009,Dark Places,eng,3.92,333452,,,,,,,,,,,,,,,
227,5359,John Grisham,1993,The Client,eng,3.97,320083,,,,,,,,,,,,,,,
228,228333,"Emma McLaughlin, Nicola Kraus",2002,The Nanny Diaries,eng,3.4,323762,,,,,,,,,,,,,,,
229,24213,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland,eng,4.06,340920,,,,,,,,,,,,,,,
230,2156,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,eng,4.13,365425,,,,,,,,,,,,,,,
231,556602,Tatiana de Rosnay,2007,Elle s'appelait Sarah,eng,4.14,312444,,,,,,,,,,,,,,,
232,43615,Stephen King,1982,The Gunslinger,en-US,3.99,332494,,,,,,,,,,,,,,,
233,9712,"Gabriel García Márquez, Edith Grossman",1985,El amor en los tiempos del cólera,eng,3.89,283806,,,,,,,,,,,,,,,
234,439288,Laurie Halse Anderson,1999,Speak,eng,4,360156,,,,,,,,,,,,,,,
235,17802724,Liane Moriarty,2013,The Husband's Secret ,eng,3.92,232106,,,,,,,,,,,,,,,
236,1898,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Everest Disaster,en-US,4.11,291258,,,,,,,,,,,,,,,
238,242006,Augusten Burroughs,2002,Running with Scissors,en-US,3.7,293878,,,,,,,,,,,,,,,
239,8908,Max Brooks,2006,World War Z: An Oral History of the Zombie War,en-US,4.01,312969,,,,,,,,,,,,,,,
240,17212231,Dan Brown,2013,Inferno,eng,3.8,287533,,,,,,,,,,,,,,,
241,47281,Lois Lowry,1989,Number the Stars,eng,4.11,333638,,,,,,,,,,,,,,,
242,13145,James Patterson,1993,Along Came a Spider,eng,4.08,311499,,,,,,,,,,,,,,,
243,10614,Stephen King,1987,Misery,en-GB,4.11,334647,,,,,,,,,,,,,,,
244,66559,Gillian Flynn,2006,Sharp Objects,en-US,3.92,207889,,,,,,,,,,,,,,,
245,2839,Katherine Paterson,1977,Bridge to Terabithia,eng,3.98,337644,,,,,,,,,,,,,,,
246,30183,"P.C. Cast, Kristin Cast",2007,Marked,en-US,3.79,360044,,,,,,,,,,,,,,,
247,36072,Stephen R. Covey,1989,The 7 Habits of Highly Effective People,en-US,4.05,314700,,,,,,,,,,,,,,,
248,1622,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,eng,3.94,334241,,,,,,,,,,,,,,,
249,4588,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,en-US,3.97,294726,,,,,,,,,,,,,,,
250,11387515,R.J. Palacio,2012,Wonder,eng,4.43,228538,,,,,,,,,,,,,,,
251,233093,Dr. Seuss,1957,The Cat in the Hat,eng,4.15,314016,,,,,,,,,,,,,,,
252,11235712,Marissa Meyer,2012,Cinder,eng,4.15,427663,,,,,,,,,,,,,,,
253,16160797,"Robert Galbraith, J.K. Rowling",2013,The Cuckoo's Calling,en-US,3.83,297712,,,,,,,,,,,,,,,
254,6068551,Maggie Stiefvater,2009,Shiver,eng,3.78,356625,,,,,,,,,,,,,,,
