author,bookid,rating
Richard J. Dunn,63,3.82
Jodi Picoult,64,4.06
Kurt Vonnegut Jr.,65,4.06
Margaret Mitchell,66,4.28
Khaled Hosseini,67,4.34
Stephen Chbosky,68,4.21
Veronica Roth,69,4.07
Orson Scott Card,70,4.3
Mary Wollstonecraft Shelley,71,3.75
Percy Bysshe Shelley,71,3.75
Maurice Hindle,71,3.75
Stephen King,72,4.17
Stephenie Meyer,73,3.84
John Green,74,4.09
Helen Fielding,75,3.75
Jane Austen,76,4.06
Tony Tanner,76,4.06
Ros Ballaster,76,4.06
Louis Sachar,77,3.93
Louis Sachar,77,3.93
Lauren Weisberger,78,3.7
Homer,79,3.73
Robert Fagles,79,3.73
E.V. Rieu,79,3.73
Frederic Mugler,79,3.73
Bernard Knox,79,3.73
Antoine de Saint-Exupery,80,4.28
Richard Howard,80,4.28
Dom Marcos Barbosa,80,4.28
Melina Karakosta,80,4.28
Jeannette Walls,81,4.24
Jon Krakauer,82,3.94
Charles Dickens,83,3.81
Richard Maxwell,83,3.81
Hablot Knight Browne,83,3.81
Michael Crichton,84,3.96
Shel Silverstein,85,4.38
John Grisham,86,4.03
Elie Wiesel,87,4.3
Marion Wiesel,87,4.3
John Green,88,3.88
William Goldman,89,4.25
S.E. Hinton,90,4.06
James Dashner,91,4.02
Steven D. Levitt,92,3.93
Stephen J. Dubner,92,3.93
Frances Hodgson Burnett,93,4.12
Gabriel Garcia Marquez,94,4.04
Gregory Rabassa,94,4.04
Oscar Wilde,95,4.06
Jeffrey Eugenides,95,4.06
E.L. James,96,3.88
Bram Stoker,97,3.98
Nina Auerbach,97,3.98
David J. Skal,97,3.98
Stieg Larsson,98,4.22
Reg Keeland,98,4.22
E.L. James,99,3.87
Barbara Kingsolver,100,4.02
David Sedaris,101,3.97
Maurice Sendak,102,4.22
Alexandre Dumas,103,4.21
Robin Buss,103,4.21
Cormac McCarthy,104,3.95
Veronica Roth,105,3.63
Tina Fey,106,3.94
Nicholas Sparks,107,4.15
Sophie Kinsella,108,3.61
Victor Hugo,109,4.14
Lee Fahnestock,109,4.14
Norman MacAfee,109,4.14
George R.R. Martin,110,4.4
Kim Edwards,111,3.64
Jojo Moyes,112,4.27
Joseph Heller,113,3.98
Mitch Albom,114,4.06
Saulius Dagys,114,4.06
Jeffrey Eugenides,115,3.98
Mark Twain,116,3.89
Guy Cardwell,116,3.89
John Seelye,116,3.89
Madeleine L'Engle,117,4.04
Amy Tan,118,3.9
Margaret Atwood,119,4.06
Ann Brashares,120,3.75
Vladimir Nabokov,121,3.88
Craig Raine,121,3.88
Gregory Maguire,122,3.52
Douglas Smith,122,3.52
John Grisham,123,3.99
Emma Donoghue,124,4.03
William Shakespeare,125,4.0
Richard Andrews,125,4.0
Rex Gibson,125,4.0
Frank Herbert,126,4.19
Malcolm Gladwell,127,3.92
Walter Isaacson,128,4.09
Ken Kesey,129,4.18
Ernest Hemingway,130,3.73
John Steinbeck,131,3.92
Mitch Albom,132,3.9
L.M. Montgomery,133,4.23
Cassandra Clare,134,4.34
George R.R. Martin,135,4.54
Rebecca Wells,136,3.79
Diana Gabaldon,137,4.2
Nathaniel Hawthorne,138,3.37
Thomas E. Connolly,138,3.37
Nina Baym,138,3.37
Ransom Riggs,139,3.89
Stieg Larsson,140,4.2
Reg Keeland,140,4.2
Andy Weir,141,4.39
Ken Follett,142,4.29
Anthony Doerr,143,4.31
Laura Hillenbrand,144,4.4
Dan Brown,145,3.67
Donna Tartt,146,3.87
Jay Asher,147,4.02
Tracy Chevalier,148,3.85
Gayle Forman,149,3.96
Anita Diamant,150,4.16
Rick Riordan,151,4.23
Nicholas Sparks,152,4.01
Cassandra Clare,153,4.21
William Shakespeare,154,3.88
J.R.R. Tolkien,155,4.42
Emily Giffin,156,3.83
Dr. Seuss,157,4.29
lAh nAvr,157,4.29
Roald Dahl,158,4.1
Quentin Blake,158,4.1
Rick Riordan,159,4.39
Charles Dickens,160,3.75
J.R.R. Tolkien,161,4.51
Albert Camus,162,3.96
Matthew    Ward,162,3.96
Rick Riordan,163,4.35
Rainbow Rowell,164,4.11
George R.R. Martin,165,4.1
Ally Condie,166,3.68
Neil Gaiman,167,4.11
Stephen King,168,4.34
Bernie Wrightson,168,4.34
Nicholas Sparks,169,4.14
Dan Brown,170,3.6
Jane Austen,171,3.99
Fiona Stafford,171,3.99
Leo Tolstoy,172,4.02
Louise Maude,172,4.02
Leo Tolstoj,172,4.02
Aylmer Maude,172,4.02
Anthony Burgess,173,3.98
William Paul Young,174,3.74
Rick Riordan,175,4.5
Stephen King,176,4.18
Fyodor Dostoyevsky,177,4.18
David McDuff,177,4.18
Sylvia Plath,178,3.98
Frank McCourt,179,4.07
Hermann Hesse,180,3.99
Hilda Rosner,180,3.99
Truman Capote,181,4.05
Kami Garcia,182,3.76
Margaret Stohl,182,3.76
Cassandra Clare,183,4.33
Roald Dahl,184,4.29
Quentin Blake,184,4.29
Erin Morgenstern,185,4.03
Philippa Gregory,186,4.04
Scott Westerfeld,187,3.86
George R.R. Martin,188,4.31
J.R.R. Tolkien,189,4.47
Cheryl Strayed,190,3.96
Alan Moore,191,4.35
Dave Gibbons,191,4.35
John Higgins,191,4.35
Patrick Rothfuss,192,4.55
Malcolm Gladwell,193,4.11
Herman Melville,194,3.46
Andrew Delbanco,194,3.46
Tom Quirk,194,3.46
Mary Ann Shaffer,195,4.12
Annie Barrows,195,4.12
Chuck Palahniuk,196,4.2
Charlaine Harris,197,3.96
Alice Walker,198,4.17
John Grogan,199,4.12
Agatha Christie,200,4.23
Dan Brown,201,3.66
Becca Fitzpatrick,202,4.0
Jamie McGuire,203,4.15
Charles Dickens,204,4.02
Anne Rice,205,3.97
Kiera Cass,206,4.15
Janet Evanovich,207,4.03
Rebecca Skloot,208,4.04
Thomas Harris,209,4.14
Richelle Mead,210,4.14
Malcolm Gladwell,211,3.89
Ian McEwan,212,3.88
Franz Kafka,213,3.78
Stanley Corngold,213,3.78
Rick Riordan,214,4.33
Ernest Cline,215,4.31
Garth Stein,216,4.19
Erik Larson,217,3.98
Tony Goldwyn,217,3.98
Sylvia Day,218,4.19
C.S. Lewis,219,4.24
Pauline Baynes,219,4.24
Mark Cotta Vaz,220,4.23
Dave Pelzer,221,4.08
Robert Ludlum,222,3.98
Eoin Colfer,223,3.82
Lauren Kate,224,3.74
John Steinbeck,225,4.35
Gillian Flynn,226,3.92
John Grisham,227,3.97
Emma McLaughlin,228,3.4
Nicola Kraus,228,3.4
Lewis Carroll,229,4.06
John Tenniel,229,4.06
Martin Gardner,229,4.06
Jane Austen,230,4.13
James Kinsley,230,4.13
Deidre Shauna Lynch,230,4.13
Tatiana de Rosnay,231,4.14
Stephen King,232,3.99
Gabriel Garcia Marquez,233,3.89
Edith Grossman,233,3.89
Laurie Halse Anderson,234,4.0
Liane Moriarty,235,3.92
Jon Krakauer,236,4.11
Stephen King,237,3.93
Augusten Burroughs,238,3.7
Max Brooks,239,4.01
Dan Brown,240,3.8
Lois Lowry,241,4.11
James Patterson,242,4.08
Stephen King,243,4.11
Gillian Flynn,244,3.92
Katherine Paterson,245,3.98
P.C. Cast,246,3.79
Kristin Cast,246,3.79
Stephen R. Covey,247,4.05
William Shakespeare,248,3.94
Barbara A. Mowat,248,3.94
Paul Werstine,248,3.94
Catherine Belsey,248,3.94
Jonathan Safran Foer,249,3.97
R.J. Palacio,250,4.43
Dr. Seuss,251,4.15
Marissa Meyer,252,4.15
Robert Galbraith,253,3.83
J.K. Rowling,253,3.83
Maggie Stiefvater,254,3.78
Ayn Rand,255,3.68
Leonard Peikoff,255,3.68
Greg Mortenson,256,3.64
David Oliver Relin,256,3.64
Jane Carruth,257,4.03
Lewis Carroll,257,4.03
Rene Cloke,257,4.03
Carlos Ruiz Zafon,258,4.24
Lucia Graves,258,4.24
James Dashner,259,3.93
Dale Carnegie,260,4.13
Frances Mayes,261,3.72
Liane Moriarty,262,4.2
Gail Carson Levine,263,3.97
Ernest Hemingway,264,3.83
Betty  Smith,265,4.24
James Patterson,266,3.93
Kristin Hannah,267,4.54
Kazuo Ishiguro,268,3.8
Cecelia Ahern,269,4.01
Daphne du Maurier,270,4.2
Sally Beauman,270,4.2
Daniel Keyes,271,4.07
Laura Esquivel,272,3.94
Thomas  Christensen,272,3.94
Carol Christensen,272,3.94
Lisa See,273,4.05
Mario Puzo,274,4.36
Robert Thompson,274,4.36
Peter Bart,274,4.36
John Green,275,3.63
Isaac Asimov,276,4.13
Neil Gaiman,277,3.99
Shel Silverstein,278,4.34
John Tiffany,279,3.75
Jack Thorne,279,3.75
J.K. Rowling,279,3.75
Lauren Oliver,280,3.99
John Grisham,281,3.95
Neil Gaiman,282,4.03
Terry Pratchett,283,4.25
Neil Gaiman,283,4.25
Jack Kerouac,284,3.64
Graeme Simsion,285,4.01
Nicholas Sparks,286,4.1
Ayn Rand,287,3.85
Leonard Peikoff,287,3.85
Tom Clancy,288,4.01
Richard Adams,289,4.05
Mindy Kaling,290,3.84
Abraham Verghese,291,4.28
C.S. Lewis,292,4.08
Pauline Baynes,292,4.08
Robert Louis Stevenson,293,3.82
Rick Riordan,294,4.44
Stephen King,295,4.29
Eric Carle,296,4.29
Kurt Vonnegut Jr.,297,4.18
H.G. Wells,298,3.87
Greg Bear,298,3.87
Carlo Pagetti,298,3.87
Todd Burpo,299,4.01
Lynn Vincent,299,4.01
John Boyne,300,4.1
Joseph Conrad,301,3.42
Nicholas Sparks,302,4.19
Rhonda Byrne,303,3.62
Wally Lamb,304,4.17
Stephen King,305,3.91
Wally Lamb,306,3.84
Patrick Rothfuss,307,4.57
Sophie Kinsella,308,3.83
Cassandra Clare,309,4.16
Jennifer Weiner,310,3.7
Colleen McCullough,311,4.22
Neil Gaiman,312,4.12
Dave McKean,312,4.12
M.L. Stedman,313,4.0
Cornelia Funke,314,3.86
Anthea Bell,314,3.86
Spencer Johnson,315,3.74
Kenneth H. Blanchard,315,3.74
Bill Bryson,316,4.05
Maya Angelou,317,4.19
Christina Baker Kline,318,4.14
Cassandra Clare,319,4.3
Maria Semple,320,3.9
Wilson Rawls,321,4.04
Neil Gaiman,322,4.18
Milan Kundera,323,4.08
Michael Henry Heim,323,4.08
Rainbow Rowell,324,4.12
John Irving,325,4.22
Janet Fitch,326,3.93
Marie Lu,327,4.19
Jodi Picoult,328,4.1
Randy Pausch,329,4.25
Jeffrey Zaslow,329,4.25
Robert Jordan,330,4.18
Jodi Picoult,331,4.0
C.S. Lewis,332,4.01
Lisa Genova,333,4.3
Sylvia Day,334,4.33
Roald Dahl,335,3.99
Quentin Blake,335,3.99
James Patterson,336,4.05
Douglas Adams,337,4.37
David Nicholls,338,3.77
Margaret Wise Brown,339,4.27
Clement Hurd,339,4.27
Pittacus Lore,340,3.94
Homer,341,3.83
Robert Fagles,341,3.83
Frederic Mugler,341,3.83
Bernard Knox,341,3.83
J.K. Rowling,342,3.28
John Grisham,343,3.96
David Sedaris,344,4.08
Christopher Paolini,345,3.96
L. Frank Baum,346,3.98
W.W. Denslow,346,3.98
C.S. Lewis,347,3.96
E. Lockhart,348,3.85
Stephen King,349,3.99
Hunter S. Thompson,350,4.08
Ralph Steadman,350,4.08
Cassandra Clare,351,4.46
Amy Poehler,352,3.81
William Shakespeare,353,3.88
Toni Morrison,354,3.77
Kristin Cashore,355,4.1
Lemony Snicket,356,3.89
Brett Helquist,356,3.89
Erich Maria Remarque,357,3.92
A.W. Wheen,357,3.92
Dr. Seuss,358,4.34
Khaled Hosseini,359,4.03
Philip K. Dick,360,4.08
Roger Zelazny,360,4.08
Charles Dickens,361,3.85
George Cruikshank,361,3.85
Philip Horne,361,3.85
C.S. Lewis,362,4.21
Stephanie Perkins,363,4.08
Dr. Seuss,364,4.36
Alan Moore,365,4.25
David   Lloyd,365,4.25
David McCullough,366,4.05
Dean Koontz,367,3.94
Philip Pullman,368,4.1
Jerry Spinelli,369,3.74
Rick Riordan,370,4.06
Robert A. Heinlein,371,3.91
David Sedaris,372,4.08
Roald Dahl,373,4.22
Quentin Blake,373,4.22
Bill Bryson,374,4.19
Jack London,375,3.83
James Dashner,376,3.77
Neil Gaiman,377,4.07
Jhumpa Lahiri,378,3.96
Deborah Harkness,379,3.99
Haruki Murakami,380,4.02
Jay Rubin,380,4.02
Billie Letts,381,4.0
John Green,382,3.84
David Levithan,382,3.84
James Frey,383,3.62
Richelle Mead,384,4.3
Susan Cain,385,4.04
Scott O'Dell,386,3.8
Arthur Miller,387,3.55
Christopher Bigsby,387,3.55
Gary Paulsen,388,3.68
Brandon Sanderson,389,4.43
Robert Louis Stevenson,390,3.79
Vladimir Nabokov,390,3.79
Mervyn Peake,390,3.79
Dan Chaon,390,3.79
Dr. Seuss,391,4.35
Jeff Kinney,392,3.96
Sarah J. Maas,393,4.24
Richelle Mead,394,4.37
Ernest Hemingway,395,3.95
Jamie Ford,396,3.98
Patrick Suskind,397,4.0
John E. Woods,397,4.0
Eric Schlosser,398,3.73
J.K. Rowling,399,4.06
William Gibson,400,3.88
Ernest Hemingway,401,3.79
Edgar Allan Poe,402,4.15
Sun Tzu,403,3.95
Thomas Cleary,403,3.95
William Landay,404,3.97
Kurt Vonnegut Jr.,405,4.08
Betty Edwards,406,3.84
Ann Patchett,407,3.92
Jared Diamond,408,4.0
Fannie Flagg,409,4.26
Chinua Achebe,410,3.61
Sophie Kinsella,411,3.82
Gary Chapman,412,4.23
Alexandre Dumas,413,4.06
Chris Cleave,414,3.7
Alyson Noel,415,3.59
Roald Dahl,416,4.17
Quentin Blake,416,4.17
Diane Setterfield,417,3.95
Richelle Mead,418,4.37
Richelle Mead,419,4.35
Nicholas Sparks,420,3.95
Paula McLain,421,3.79
J.K. Rowling,422,4.74
Kiera Cass,423,4.02
Umberto Eco,424,4.11
William Weaver,424,4.11
Sean Barrett,424,4.11
Beatrice Sparks,425,3.77
Anonymous,425,3.77
John Kennedy Toole,426,3.89
Walker Percy,426,3.89
Oscar Wilde,427,4.17
Rick Riordan,428,4.47
Terry Pratchett,429,3.97
Haruki Murakami,430,4.13
Philip Gabriel,430,4.13
Thomas Harris,431,4.01
Isaac Asimov,432,4.17
J.R. Ward,433,4.21
Becca Fitzpatrick,434,4.07
Lauren Oliver,435,3.92
Arundhati Roy,436,3.91
Sue Monk Kidd,437,4.23
Liane Moriarty,438,4.05
Stephen Hawking,439,4.12
Cao Chi,439,4.12
Pham Van Thieu,439,4.12
Ken Follett,440,4.26
Stephen King,441,3.89
Neal Stephenson,442,4.02
Sarah Dessen,443,4.06
A.A. Milne,444,4.34
Ernest H. Shepard,444,4.34
S.J. Watson,445,3.87
Arthur Conan Doyle,446,4.15
Christopher Paolini,447,4.03
Rick Warren,448,3.9
P.C. Cast,449,3.93
Kristin Cast,449,3.93
Jim Butcher,450,4.02
Jane Austen,451,3.8
Alfred MacAdam,451,3.8
Rick Yancey,452,4.1
Charles Frazier,453,3.83
Laura Joffe Numeroff,454,4.24
Felicia Bond,454,4.24
Emily Giffin,455,3.92
Tennessee Williams,456,3.97
Elizabeth Kostova,457,3.77
Emily St. John Mandel,458,4.02
Fredrik Backman,459,4.35
Henning Koch,459,4.35
Cassandra Clare,460,4.59
Pearl S. Buck,461,3.97
John Berger,462,3.75
Diana Gabaldon,463,4.31
Anonymous,464,4.43
Jennifer Weiner,465,3.78
Chuck Dixon,466,4.48
J.R.R. Tolkien,466,4.48
David Wenzel,466,4.48
Sean Deming,466,4.48
Junot Diaz,467,3.89
Zora Neale Hurston,468,3.87
Newt Scamander,469,3.95
J.K. Rowling,469,3.95
Albus Dumbledore,469,3.95
Malala Yousafzai,470,4.06
Christina Lamb,470,4.06
Jane Austen,471,3.84
Kathryn Sutherland,471,3.84
Tony Tanner,471,3.84
Claire Lamont,471,3.84
Viktor E. Frankl,472,4.33
Tana French,473,3.74
Richard Dawkins,474,3.89
Gayle Forman,475,4.06
John Irving,476,4.07
Lee Child,477,4.04
Daniel Defoe,478,3.66
Gerald McCann,478,3.66
Virginia Woolf,478,3.66
Niccolo Machiavelli,479,3.78
Adolph Caso,479,3.78
Rufus Goodwin,479,3.78
Benjamin Martinez,479,3.78
Philip Pullman,480,4.06
Terry Goodkind,481,4.13
Kathleen Grissom,482,4.18
J.D. Salinger,483,3.98
Chuck Palahniuk,484,3.69
Fyodor Dostoyevsky,485,4.3
Richard Pevear,485,4.3
Larissa Volokhonsky,485,4.3
Jeanne DuPrau,486,3.85
Michael Crichton,487,3.87
Stephen King,488,4.42
Kahlil Gibran,489,4.22
Art Spiegelman,490,4.35
P.C. Cast,491,3.95
Kristin Cast,491,3.95
Orson Scott Card,492,4.04
C.S. Lewis,493,4.31
Donna Tartt,494,4.07
Dave Eggers,495,3.68
Jean M. Auel,496,4.02
Anna Sewell,497,3.94
Leo Tolstoy,498,4.11
Henry Gifford,498,4.11
Aylmer Maude,498,4.11
Louise Maude,498,4.11
Bret Easton Ellis,499,3.81
Meg Cabot,500,3.76
Alexander McCall Smith,501,3.75
Robert Kirkman,502,4.3
Tony Moore,502,4.3
Arthur C. Clarke,503,4.12
Francine Rivers,504,4.48
Tim LaHaye,505,3.81
Jerry B. Jenkins,505,3.81
Kiera Cass,506,4.21
Suzanne Collins,507,4.49
Barbara Ehrenreich,508,3.6
Sophie Kinsella,509,3.76
Robert Jordan,510,4.2
Patricia Cornwell,511,4.01
Edgar Allan Poe,512,4.37
Corrie ten Boom,513,4.42
John Sherrill,513,4.42
Elizabeth Sherrill,513,4.42
Arthur Conan Doyle,514,4.29
Pat Conroy,515,4.22
Michael Chabon,516,4.17
Simone Elkeles,517,4.07
J.M. Barrie,518,4.1
Michael Hague,518,4.1
Scott Westerfeld,519,3.85
Haruki Murakami,520,4.17
Jay Rubin,520,4.17
Michael Connelly,521,4.14
David Mitchell,522,4.01
Tim O'Brien,523,4.12
Banksy,524,3.83
Lauren Oliver,525,4.07
Jeff Lindsay,526,3.89
Charlaine Harris,527,3.97
Robert Jordan,528,4.23
Jonathan Swift,529,3.55
Robert DeMaria Jr.,529,3.55
William Shakespeare,530,4.06
Barbara A. Mowat,530,4.06
Paul Werstine,530,4.06
Gail Kern Paster,530,4.06
Robert          Jackson,530,4.06
Unknown,531,3.42
Seamus Heaney,531,3.42
Frank Miller,532,4.23
David Mazzucchelli,532,4.23
Richmond Lewis,532,4.23
Dennis O'Neil,532,4.23
Harper Lee,533,3.31
David Sedaris,534,4.04
Laini Taylor,535,4.04
Victoria Aveyard,536,4.08
Charles Duhigg,537,4.03
John Berendt,538,3.9
Colleen Hoover,539,4.34
Frances Hodgson Burnett,540,4.2
Nancy Bond,540,4.2
Sarah Dessen,541,4.13
C.S. Lewis,542,3.9
Richelle Mead,543,4.42
Laura Ingalls Wilder,544,4.18
Garth Williams,544,4.18
Margery Williams Bianco,545,4.29
William   Nicholson,545,4.29
Robert M. Pirsig,546,3.76
H.G. Wells,547,3.8
Arthur C. Clarke,547,3.8
Sara Shepard,548,3.9
Don Freeman,549,4.28
Michael Pollan,550,4.17
Kate Atkinson,551,3.74
Nicholas Sparks,552,4.1
Stephen King,553,3.87
Diana Gabaldon,554,4.38
Kenneth Branagh,555,4.12
William Shakespeare,555,4.12
Stephen King,556,3.65
Jeffrey Eugenides,557,3.83
Charlaine Harris,558,4.13
Thomas Hardy,559,3.77
Tim Dolin,559,3.77
Margaret R. Higonnet,559,3.77
Gustave Flaubert,560,3.64
Margaret Mauldon,560,3.64
Malcolm Bowie,560,3.64
Mark Overstall,560,3.64
Norton Juster,561,4.22
Jules Feiffer,561,4.22
Brandon Sanderson,562,4.64
Charlaine Harris,563,4.03
Ned Vizzini,564,4.14
Brandon Sanderson,565,4.35
Jojo Moyes,566,3.7
Vanessa Diffenbaugh,567,4.07
Frank Miller,568,4.25
Klaus Janson,568,4.25
Lynn Varley,568,4.25
James Patterson,569,4.08
Nick Hornby,570,3.94
Nicholas Sparks,571,4.14
Margaret Atwood,572,4.0
John Gray,573,3.52
Anthony Bourdain,574,4.0
Michael Crichton,575,3.83
Voltaire,576,3.76
Natalie Babbitt,577,3.85
Stephen King,578,3.72
Marie Milpois,578,3.72
P.D. Eastman,579,4.16
E.H. Gombrich,580,3.83
Marissa Meyer,581,4.3
Robert T. Kiyosaki,582,3.95
Becca Fitzpatrick,583,4.16
Lev Grossman,584,3.47
Tsugumi Ohba,585,4.42
Takeshi Obata,585,4.42
Libba Bray,586,3.79
Jonathan Safran Foer,587,3.9
Robert Ludlum,588,4.09
Tammara Webber,589,4.11
Charles Dickens,590,3.96
Jeremy Tambling,590,3.96
Sherman Alexie,591,4.11
Ellen Forney,591,4.11
Mikhail Bulgakov,592,4.32
Katherine Tiernan O'Connor,592,4.32
Diana Burgin,592,4.32
Ellendea Proffer,592,4.32
Ursula K. Le Guin,593,3.99
Kate DiCamillo,594,4.0
Chris Sheban,594,4.0
John Knowles,595,3.56
John Grisham,596,3.91
Miguel de Cervantes Saavedra,597,3.85
Roberto Gonzalez Echevarria,597,3.85
John Rutherford,597,3.85
Robin Hobb,598,4.14
Douglas Adams,599,4.22
Lauren Kate,600,3.89
Beatrix Potter,601,4.17
C.S. Lewis,602,3.95
Pauline Baynes,602,3.95
Brandon Sanderson,603,4.46
Susanna Kaysen,604,3.9
Chelsea Handler,605,3.85
Richard Bach,606,3.8
Russell Munson,606,3.8
Cassandra Clare,607,4.48
Robert Munsch,608,4.34
Sheila McGraw,608,4.34
Stephen King,609,3.64
Daniel James Brown,610,4.32
J.R.R. Tolkien,611,3.87
Christopher Tolkien,611,3.87
Ted Nasmith,611,3.87
Stephen King,612,4.23
Kate Morton,613,4.12
Franz Kafka,614,3.98
Edwin Muir,614,3.98
Willa Muir,614,3.98
Max Brod,614,3.98
Sarah Dessen,615,4.03
Jodi Picoult,616,3.97
Piper Kerman,617,3.7
Arthur Conan Doyle,618,4.09
Anne Perry,618,4.09
Daniel Kahneman,619,4.08
Marion Zimmer Bradley,620,4.12
Judy Blume,621,3.89
Nicholas Sparks,622,3.82
Stephen King,623,3.92
Charlaine Harris,624,4.05
Chris Bohjalian,625,3.97
Chris Van Allsburg,626,4.29
Jon Scieszka,627,4.29
Lane Smith,627,4.29
Tom Clancy,628,4.11
Paulo Coelho,629,3.69
Margaret Jull Costa,629,3.69
Sheryl Sandberg,630,3.94
Nell Scovell,630,3.94
Charlaine Harris,631,4.01
Tahereh Mafi,632,4.01
Robert A. Heinlein,633,3.99
Sophie Kinsella,634,3.93
Jostein Gaarder,635,3.88
Paulette Moller,635,3.88
Mark Cotta Vaz,636,4.3
Ray Bradbury,637,4.12
Jennifer Egan,638,3.64
Johanna Spyri,639,3.97
Angelo  Rinaldi,639,3.97
Beverly Cleary,639,3.97
Michael Crichton,640,3.72
C.S. Lewis,641,4.02
Ken Follett,642,4.23
P.C. Cast,643,3.9
Kristin Cast,643,3.9
Colleen Hoover,644,4.29
Alex Flinn,645,3.84
Geoffrey Chaucer,646,3.48
Nevill Coghill,646,3.48
Emily Giffin,647,3.71
Christopher Paolini,648,4.08
Haruki Murakami,649,3.89
Jay Rubin,649,3.89
Philip Gabriel,649,3.89
Harriet Beecher Stowe,650,3.83
Gaston Leroux,651,3.97
Alexander Teixeira de Mattos,651,3.97
Charlaine Harris,652,4.02
Jose Saramago,653,4.08
Giovanni Pontiero,653,4.08
Jonathan Franzen,654,3.73
Ally Condie,655,3.52
Ally Carter,656,3.82
Aravind Adiga,657,3.71
Jonathan Franzen,658,3.78
Barack Obama,659,3.81
Michael Crichton,660,3.55
Judith Viorst,661,4.22
Ray Cruz,661,4.22
Jhumpa Lahiri,662,4.12
Howard Zinn,663,4.07
Truman Capote,664,3.89
Justin Cronin,665,4.04
Neil Gaiman,666,4.0
Sarah Dessen,667,4.08
Celeste Ng,668,3.78
Isabel Allende,669,4.2
Magda Bogin,669,4.2
Stephen King,670,3.9
Agatha Christie,671,3.98
Rozita Sokou,671,3.98
Agatha Christie,672,4.16
Chimamanda Ngozi Adichie,673,4.26
James Patterson,674,4.16
Stephen King,675,3.85
Sylvia Day,676,4.19
Christopher McDougall,677,4.27
Gabrielle Zevin,678,3.98
Ludwig Bemelmans,679,4.22
Napoleon Hill,680,4.17
Laura Ingalls Wilder,681,4.16
Garth Williams,681,4.16
Susanna Clarke,682,3.8
Nicholas Sparks,683,4.02
Rick Riordan,684,4.54
Michael  Grant,685,3.85
Nicholas Sparks,686,3.98
David McCullough,687,4.06
Jon Krakauer,688,3.98
Jess Walter,689,3.67
Barack Obama,690,3.69
Stephen King,691,4.31
Kristin Hannah,692,4.04
Michael Crichton,693,3.77
Emily Giffin,694,3.7
Robert Galbraith,695,4.03
J.K. Rowling,695,4.03
Anne Rice,696,4.05
Ann Patchett,697,3.85
Matthew Quick,698,4.0
Jules Verne,699,3.86
Anthony Bonner,699,3.86
Philippa Gregory,700,3.88
Virginia Woolf,701,3.78
Maureen Howard,701,3.78
Jonas Jonasson,702,3.81
Rod Bradbury,702,3.81
Stephen King,703,3.87
John Irving,704,4.1
Richard Bachman,705,3.66
Stephen King,705,3.66
Jules Verne,706,3.9
Michael Glencross,706,3.9
Brian W. Aldiss,706,3.9
Sharon Creech,707,3.95
Paulo Coelho,708,3.69
Margaret Jull Costa,708,3.69
J.D. Salinger,709,4.19
Julie Powell,710,3.67
Neal Shusterman,711,4.18
