author,Art,Biography,Business,Christian,Classics,Comics,Cookbooks,Crime,Fantasy,Fiction,History,Manga,Mystery,Poetry,Psychology
Celal Uster,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0
Anne Frank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eleanor Roosevelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.M. Mooyaart-Doubleday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stieg Larsson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Reg Keeland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Rufus Beck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice Sebold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Golding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
William Shakespeare,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.38461538461538464,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693
Robert           Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gillian Flynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
Kathryn Stockett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Steinbeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Golden,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
E.L. James,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
Paulo Coelho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
Alan R. Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lois Lowry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C.S. Lewis,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.2222222222222222,0.0
Audrey Niffenegger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George R.R. Martin,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285
Elizabeth Gilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick Riordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Louisa May Alcott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
Charlotte Bronte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yann Martel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sara Gruen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus Zusak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Bradbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shel Silverstein,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
Cassandra Clare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Paolini,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Douglas Adams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
Aldous Huxley,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0
Sue Monk Kidd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Twain,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
John Seelye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guy Cardwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.B. White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garth Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosemary Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Haddon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Paula Hawkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philip Pullman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emily Bronte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard J. Dunn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jodi Picoult,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.0,0.1111111111111111,0.2222222222222222
Kurt Vonnegut Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margaret Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Chbosky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orson Scott Card,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857
Mary Wollstonecraft Shelley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Percy Bysshe Shelley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Hindle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen King,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
Helen Fielding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Tanner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ros Ballaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Sachar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauren Weisberger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Homer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Fagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.V. Rieu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederic Mugler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoine de Saint-Exupery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dom Marcos Barbosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melina Karakosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeannette Walls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Krakauer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Dickens,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.2
Richard Maxwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hablot Knight Browne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Crichton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Grisham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857
Elie Wiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion Wiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Goldman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.E. Hinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
James Dashner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven D. Levitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen J. Dubner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frances Hodgson Burnett,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
Gabriel Garcia Marquez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregory Rabassa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscar Wilde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffrey Eugenides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bram Stoker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nina Auerbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David J. Skal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbara Kingsolver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Sedaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Sendak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Dumas,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0
Robin Buss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cormac McCarthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
Tina Fey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Sophie Kinsella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25
Victor Hugo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Fahnestock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman MacAfee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jojo Moyes,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Joseph Heller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitch Albom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saulius Dagys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madeleine L'Engle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Amy Tan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margaret Atwood,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2
Ann Brashares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
Vladimir Nabokov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Raine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregory Maguire,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25
Douglas Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25
Emma Donoghue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Andrews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rex Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Herbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Gladwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walter Isaacson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Kesey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernest Hemingway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0
L.M. Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rebecca Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diana Gabaldon,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Nathaniel Hawthorne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas E. Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nina Baym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ransom Riggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Weir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Follett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Anthony Doerr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laura Hillenbrand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donna Tartt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Asher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tracy Chevalier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
Gayle Forman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Anita Diamant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Emily Giffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dr. Seuss,0.06666666666666667,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.2,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333
lAh nAvr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roald Dahl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quentin Blake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Camus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew    Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rainbow Rowell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ally Condie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil Gaiman,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.0,0.0,0.14285714285714285,0.14285714285714285
Bernie Wrightson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiona Stafford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leo Tolstoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Louise Maude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leo Tolstoj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aylmer Maude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Anthony Burgess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Paul Young,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fyodor Dostoyevsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
David McDuff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sylvia Plath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Frank McCourt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermann Hesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hilda Rosner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truman Capote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kami Garcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margaret Stohl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erin Morgenstern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippa Gregory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
Scott Westerfeld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheryl Strayed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Moore,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Dave Gibbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Rothfuss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herman Melville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Delbanco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Quirk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Ann Shaffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annie Barrows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuck Palahniuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlaine Harris,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.2,0.1,0.0,0.1,0.0
Alice Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Grogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agatha Christie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Becca Fitzpatrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie McGuire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anne Rice,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.10526315789473684,0.2631578947368421,0.15789473684210525,0.0,0.0,0.21052631578947367,0.10526315789473684
Kiera Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janet Evanovich,0.08695652173913043,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.0,0.13043478260869565,0.21739130434782608,0.17391304347826086,0.0,0.0,0.043478260869565216,0.08695652173913043
Rebecca Skloot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
Richelle Mead,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.25,0.125,0.0,0.0,0.125,0.0
Ian McEwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285
Franz Kafka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley Corngold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernest Cline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garth Stein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Larson,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0
Tony Goldwyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sylvia Day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0
Pauline Baynes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Cotta Vaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Pelzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robert Ludlum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eoin Colfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauren Kate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emma McLaughlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicola Kraus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Carroll,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2
John Tenniel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Kinsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deidre Shauna Lynch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tatiana de Rosnay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Edith Grossman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurie Halse Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liane Moriarty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augusten Burroughs,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
Max Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Patterson,0.0625,0.03125,0.0,0.0,0.03125,0.09375,0.0625,0.0,0.125,0.25,0.15625,0.0,0.0,0.03125,0.15625
Katherine Paterson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.C. Cast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kristin Cast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Stephen R. Covey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbara A. Mowat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Werstine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catherine Belsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Safran Foer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
R.J. Palacio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
Marissa Meyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Galbraith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maggie Stiefvater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayn Rand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Leonard Peikoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Mortenson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Oliver Relin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Carruth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rene Cloke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Ruiz Zafon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Lucia Graves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Dale Carnegie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frances Mayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gail Carson Levine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betty  Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristin Hannah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazuo Ishiguro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
